vault_id,bank_id,start_x,end_x,start_y,end_y,z
0,0,0,63,0,31,0
0,1,0,63,32,63,0
0,2,64,127,0,31,0
0,3,64,127,32,63,0
0,4,128,191,0,31,0
0,5,128,191,32,63,0
0,6,192,255,0,31,0
0,7,192,255,32,63,0
0,8,256,319,0,31,0
0,9,256,319,32,63,0
0,10,320,383,0,31,0
0,11,320,383,32,63,0
0,12,384,447,0,31,0
0,13,384,447,32,63,0
0,14,448,511,0,31,0
0,15,448,511,32,63,0
1,0,0,63,64,95,0
1,1,0,63,96,127,0
1,2,64,127,64,95,0
1,3,64,127,96,127,0
1,4,128,191,64,95,0
1,5,128,191,96,127,0
1,6,192,255,64,95,0
1,7,192,255,96,127,0
1,8,256,319,64,95,0
1,9,256,319,96,127,0
1,10,320,383,64,95,0
1,11,320,383,96,127,0
1,12,384,447,64,95,0
1,13,384,447,96,127,0
1,14,448,511,64,95,0
1,15,448,511,96,127,0
2,0,0,63,0,31,1
2,1,0,63,32,63,1
2,2,64,127,0,31,1
2,3,64,127,32,63,1
2,4,128,191,0,31,1
2,5,128,191,32,63,1
2,6,192,255,0,31,1
2,7,192,255,32,63,1
2,8,256,319,0,31,1
2,9,256,319,32,63,1
2,10,320,383,0,31,1
2,11,320,383,32,63,1
2,12,384,447,0,31,1
2,13,384,447,32,63,1
2,14,448,511,0,31,1
2,15,448,511,32,63,1
3,0,0,63,64,95,1
3,1,0,63,96,127,1
3,2,64,127,64,95,1
3,3,64,127,96,127,1
3,4,128,191,64,95,1
3,5,128,191,96,127,1
3,6,192,255,64,95,1
3,7,192,255,96,127,1
3,8,256,319,64,95,1
3,9,256,319,96,127,1
3,10,320,383,64,95,1
3,11,320,383,96,127,1
3,12,384,447,64,95,1
3,13,384,447,96,127,1
3,14,448,511,64,95,1
3,15,448,511,96,127,1
4,0,0,63,0,31,2
4,1,0,63,32,63,2
4,2,64,127,0,31,2
4,3,64,127,32,63,2
4,4,128,191,0,31,2
4,5,128,191,32,63,2
4,6,192,255,0,31,2
4,7,192,255,32,63,2
4,8,256,319,0,31,2
4,9,256,319,32,63,2
4,10,320,383,0,31,2
4,11,320,383,32,63,2
4,12,384,447,0,31,2
4,13,384,447,32,63,2
4,14,448,511,0,31,2
4,15,448,511,32,63,2
5,0,0,63,64,95,2
5,1,0,63,96,127,2
5,2,64,127,64,95,2
5,3,64,127,96,127,2
5,4,128,191,64,95,2
5,5,128,191,96,127,2
5,6,192,255,64,95,2
5,7,192,255,96,127,2
5,8,256,319,64,95,2
5,9,256,319,96,127,2
5,10,320,383,64,95,2
5,11,320,383,96,127,2
5,12,384,447,64,95,2
5,13,384,447,96,127,2
5,14,448,511,64,95,2
5,15,448,511,96,127,2
6,0,0,63,0,31,3
6,1,0,63,32,63,3
6,2,64,127,0,31,3
6,3,64,127,32,63,3
6,4,128,191,0,31,3
6,5,128,191,32,63,3
6,6,192,255,0,31,3
6,7,192,255,32,63,3
6,8,256,319,0,31,3
6,9,256,319,32,63,3
6,10,320,383,0,31,3
6,11,320,383,32,63,3
6,12,384,447,0,31,3
6,13,384,447,32,63,3
6,14,448,511,0,31,3
6,15,448,511,32,63,3
7,0,0,63,64,95,3
7,1,0,63,96,127,3
7,2,64,127,64,95,3
7,3,64,127,96,127,3
7,4,128,191,64,95,3
7,5,128,191,96,127,3
7,6,192,255,64,95,3
7,7,192,255,96,127,3
7,8,256,319,64,95,3
7,9,256,319,96,127,3
7,10,320,383,64,95,3
7,11,320,383,96,127,3
7,12,384,447,64,95,3
7,13,384,447,96,127,3
7,14,448,511,64,95,3
7,15,448,511,96,127,3
